,college,state,city,average_costs,graduation_rate,salary_after_attending,students
240,Southern Illinois University-Edwardsville,IL,Edwardsville,16304.0,49.0,43000.0,11652.0
241,Radford University,VA,Radford,17428.0,59.0,43000.0,8426.0
242,Southern Illinois University-Carbondale,IL,Carbondale,17660.0,45.0,42900.0,12056.0
243,University of Missouri-St Louis,MO,Saint Louis,11006.0,47.0,42900.0,7736.0
244,Grand Valley State University,MI,Allendale,16496.0,66.0,42800.0,22081.0
245,University of Mississippi,MS,University,14494.0,60.0,42700.0,18975.0
246,University of Wisconsin-Oshkosh,WI,Oshkosh,15192.0,52.0,42700.0,9551.0
247,West Texas A & M University,TX,Canyon,12257.0,42.0,42700.0,7384.0
248,New Jersey City University,NJ,Jersey City,12865.0,30.0,42700.0,6465.0
249,SUNY College at Brockport,NY,Brockport,15305.0,69.0,42600.0,7066.0
250,Pennsylvania College of Technology,PA,Williamsport,24055.0,46.0,42600.0,5409.0
251,Texas A & M University-Kingsville,TX,Kingsville,12568.0,31.0,42600.0,5845.0
252,University of Wisconsin-Whitewater,WI,Whitewater,15069.0,59.0,42600.0,10826.0
253,Indiana University-Purdue University-Indianapolis,IN,Indianapolis,12417.0,45.0,42500.0,21001.0
254,University of Maine,ME,Orono,15895.0,57.0,42500.0,8757.0
255,Tarleton State University,TX,Stephenville,15740.0,43.0,42500.0,11461.0
256,Keene State College,NH,Keene,19196.0,63.0,42400.0,4068.0
257,SUNY College at Plattsburgh,NY,Plattsburgh,14991.0,64.0,42400.0,5146.0
258,University of Cincinnati-Blue Ash College,OH,Blue Ash,12580.0,22.0,42300.0,4556.0
259,University of Cincinnati-Main Campus,OH,Cincinnati,22002.0,64.0,42300.0,24846.0
260,University of Cincinnati-Clermont College,OH,Batavia,13377.0,24.0,42300.0,2340.0
261,Eastern Illinois University,IL,Charleston,15404.0,58.0,42200.0,5750.0
262,Florida Gulf Coast University,FL,Fort Myers,14499.0,45.0,42100.0,13658.0
263,University of Northern Colorado,CO,Greeley,19387.0,48.0,42000.0,9098.0
264,University of South Dakota,SD,Vermillion,17078.0,54.0,42000.0,6153.0
265,Georgia Southern University,GA,Statesboro,16480.0,51.0,41900.0,17349.0
266,The University of Texas Rio Grande Valley,TX,Edinburg,4192.0,40.0,41900.0,23932.0
267,Central Michigan University,MI,Mount Pleasant,15666.0,58.0,41900.0,19551.0
268,University of Idaho,ID,Moscow,14191.0,57.0,41900.0,7735.0
269,Stephen F Austin State University,TX,Nacogdoches,12595.0,43.0,41900.0,10685.0
270,University of North Georgia,GA,Dahlonega,9362.0,26.0,41900.0,16802.0
271,University of Houston-Victoria,TX,Victoria,10199.0,18.0,41800.0,3231.0
272,SUNY College of Technology at Alfred,NY,Alfred,15230.0,49.0,41800.0,3712.0
273,University of Louisville,KY,Louisville,15968.0,53.0,41800.0,15033.0
274,Slippery Rock University of Pennsylvania,PA,Slippery Rock,19239.0,68.0,41700.0,7546.0
275,SUNY at Fredonia,NY,Fredonia,17463.0,63.0,41700.0,4352.0
276,Plymouth State University,NH,Plymouth,20461.0,56.0,41700.0,4059.0
277,California University of Pennsylvania,PA,California,19480.0,50.0,41600.0,5426.0
278,University of North Carolina Wilmington,NC,Wilmington,16793.0,72.0,41600.0,13608.0
279,Kutztown University of Pennsylvania,PA,Kutztown,19680.0,54.0,41600.0,7683.0
